name,size,status,setup_time,analysis_time,solve_time,num_iters,objective
portfolio_10,8020,QOCO_SOLVED,0.008544861,0.007944427,0.05204872,11,-2.387164223522523
portfolio_50,140100,QOCO_SOLVED,0.036654955,0.032155306,0.061239701,11,-2.74463491391753
portfolio_100,530200,QOCO_SOLVED,0.087049469,0.071401298,0.079905841,12,-2.662966225719433
portfolio_200,2060400,QOCO_SOLVED,0.290820685,0.217257262,0.150578095,14,-2.6459441418102196
portfolio_500,12651000,QOCO_SOLVED,1.733752757,1.2777913,0.574526243,15,-2.7144705517213183
portfolio_900,40771800,QOCO_SOLVED,5.438233835,3.972960584,2.270168165,16,-2.7072996273108307
portfolio_1300,84892600,QOCO_SOLVED,11.738817211,8.58044291,5.836661406,17,-2.6832664556276513
portfolio_1800,162543600,QOCO_SOLVED,23.078984463,16.696967351,12.394100739,16,-2.6950944830453962
