name,size,status,setup_time,solve_time,num_iters,objective
portfolio_10,8020,SOLVED,0,0.043877366,11,-2.3871642572352783
portfolio_50,140100,SOLVED,0,0.112579571,15,-2.7446349266542533
portfolio_100,530200,SOLVED,0,0.173734308,16,-2.662966312812786
portfolio_200,2060400,SOLVED,0,0.42576698100000004,17,-2.645944116703968
portfolio_500,12651000,SOLVED,0,2.524585334,19,-2.714470558537955
portfolio_900,40771800,SOLVED,0,7.806091494,19,-2.707299598943651
portfolio_1300,84892600,SOLVED,0,18.564468904,23,-2.6832664488729394
portfolio_1800,162543600,SOLVED,0,36.918796195,22,-2.695094554122608
