name,size,status,setup_time,solve_time,num_iters,objective
portfolio_10,8020,optimal,0,0.008139717858284712,15,-2.3871645890312707
portfolio_50,140100,optimal,0,0.06295714294537902,15,-2.7446351062112764
portfolio_100,530200,optimal,0,0.22981798090040684,13,-2.662969620432806
portfolio_200,2060400,optimal,0,1.0456785107962787,12,-2.645945570649861
portfolio_500,12651000,optimal,0,6.7542006289586425,13,-2.7144713400789366
portfolio_900,40771800,optimal,0,20.298985274974257,11,-2.7073230312850587
portfolio_1300,84892600,optimal,0,46.60018262686208,12,-2.683298868661749
portfolio_1800,162543600,optimal,0,105.34940899070352,14,-2.6951034308744357
