name,size,status,setup_time,analysis_time,solve_time,num_iters,objective
huber_50,5500,QOCO_SOLVED,0.009074299,0.008525864,0.04011551,8,158.80789917342335
huber_200,52000,QOCO_SOLVED,0.034123714,0.032572545,0.044654296,7,585.154976462613
huber_500,280000,QOCO_SOLVED,0.092229544,0.086822488,0.073219081,7,1495.2563405391716
huber_1000,1060000,QOCO_SOLVED,0.282979124,0.261875257,0.126378579,7,2997.5100967398143
huber_2000,4120000,QOCO_SOLVED,1.146328283,1.003895576,0.341905782,7,5954.039984192795
huber_4000,16240000,QOCO_SOLVED,4.414164289,3.824941407,1.257499822,7,12000.562085330139
huber_6000,36360000,QOCO_SOLVED,10.787726044,9.388633192,3.001290627,7,17919.14824901447
huber_10000,100600000,QOCO_SOLVED,29.43501603,25.251650315,9.618916948,7,30121.06180027964
