name,size,status,setup_time,analysis_time,solve_time,num_iters,objective
huber_50,5500,QOCO_SOLVED,0.000646602,2.1234e-05,0.001467409,8,158.8078991734233
huber_200,52000,QOCO_SOLVED,0.015185876,0.000126917,0.014312193,7,585.1549764626125
huber_500,280000,QOCO_SOLVED,0.13346836,0.000663334,0.138423227,7,1495.2563405391713
huber_1000,1060000,QOCO_SOLVED,0.823108931,0.002347483,0.923322212,7,2997.5100967398143
huber_2000,4120000,QOCO_SOLVED,5.857857129,0.009390869,11.961084906,7,5954.039984192763
huber_4000,16240000,QOCO_SOLVED,52.272187253,0.060882552,105.068164445,7,12000.562085330232
huber_6000,36360000,QOCO_SOLVED,136.493605205,0.18953355,333.792413769,7,17919.148249014568
huber_10000,100600000,QOCO_SOLVED,5.107245007,0.593932836,1438.41458328,7,30121.061800279458
