name,size,status,setup_time,analysis_time,solve_time,num_iters,objective
tv_denoising_0,2966850,optimal,0.592978168,0.282863013,1066.523516394,13,6523243.266723011
tv_denoising_1,5753869,optimal,1.2746965000000001,0.492965664,2822.404481412,16,12310532.74551353
tv_denoising_2,5267013,optimal,1.105775249,0.45970233,2298.019875018,15,11658446.979943883
tv_denoising_3,5753869,optimal,1.415729891,0.512417817,2458.531963946,13,13228145.14574563
tv_denoising_4,7233017,optimal,2.012780167,0.800713216,4810.244108622,14,10499648.05970618
tv_denoising_5,2092037,optimal,0.219355097,0.025940861,18.430925565,18,4941718.805270858
tv_denoising_6,2092037,optimal,0.219100953,0.026027686,19.192684795,19,4535184.357752269
tv_denoising_7,2092037,optimal,0.222658926,0.02606335,20.264216681,16,7483869.848282599
