name,size,status,setup_time,solve_time,num_iters,objective
tv_denoising_chelsea,2966850,optimal,0,8.956932151,13,6523243.266504233
tv_denoising_astronaut,5753869,optimal,0,19.106722689,15,12310532.748501483
tv_denoising_coffee,5267013,optimal,0,17.290045992,15,11658446.980289884
tv_denoising_immunohistochemistry,5753869,optimal,0,18.805705642,14,13228145.144542571
tv_denoising_logo,7233017,optimal,0,27.834427867,15,10499648.052697467
tv_denoising_brick,2092037,optimal,0,6.561183969,17,4941718.809646555
tv_denoising_camera,2092037,optimal,0,6.297919657,17,4535184.384516029
tv_denoising_grass,2092037,optimal,0,6.409634647,16,7483869.842830831
