name,size,status,setup_time,analysis_time,solve_time,num_iters,objective
group_lasso_5,8805,QOCO_SOLVED,0.001609013,2.4535e-05,0.002006186,8,6.4540883587881845
group_lasso_20,110220,QOCO_SOLVED,0.075721342,0.000181034,0.022423139,7,28.186298612017616
group_lasso_50,650550,QOCO_SOLVED,0.821205067,0.000969127,0.243043782,7,74.47606399546461
group_lasso_100,2551100,QOCO_SOLVED,0.092336404,0.00464491,3.930854468,6,150.49732973268692
group_lasso_150,5701650,QOCO_SOLVED,0.209053025,0.009948623,14.116385797,6,226.33032235966814
group_lasso_300,22653300,QOCO_SOLVED,0.985987661,0.041948463,96.423449215,6,457.7267681150751
group_lasso_450,50854950,QOCO_SOLVED,2.362086988,0.122628605,297.219734174,6,684.5058823492474
group_lasso_750,141008250,QOCO_SOLVED,6.94113252,0.433562902,1206.851778022,6,1153.3926732862383
