name,size,status,setup_time,analysis_time,solve_time,num_iters,objective
group_lasso_5,8805,QOCO_SOLVED,0.010004668,0.009429148,0.044068447,8,6.454088358788387
group_lasso_20,110220,QOCO_SOLVED,0.040348081,0.038003341,0.051679486,7,28.186298612014365
group_lasso_50,650550,QOCO_SOLVED,0.159978495,0.147406847,0.08081757,7,74.47606399543173
group_lasso_100,2551100,QOCO_SOLVED,0.561131289,0.487193036,0.144395378,6,150.49732972637662
group_lasso_150,5701650,QOCO_SOLVED,1.2839003660000001,1.092278955,0.255523814,6,226.33032235632172
group_lasso_300,22653300,QOCO_SOLVED,5.271635421,4.398851228,1.159927141,6,457.726768093047
group_lasso_450,50854950,QOCO_SOLVED,12.081309996,9.964713858,3.139873878,6,684.5058823311208
group_lasso_750,141008250,QOCO_SOLVED,39.695708274,33.482707039,13.333646968,6,1153.3926732391078
