name,size,status,setup_time,solve_time,num_iters,objective
multiperiod_portfolio_2,385600,optimal,0,0.27841623593121767,14,-8.18722959841043
multiperiod_portfolio_5,956500,optimal,0,1.1527307769283652,15,-20.269211020060755
multiperiod_portfolio_10,1908000,optimal,0,3.3003522232174873,14,-40.858561423859115
multiperiod_portfolio_15,2859500,optimal,0,7.346229609102011,16,-61.68098267258335
multiperiod_portfolio_25,4762500,optimal,0,14.841487256344408,14,-102.72954072190232
multiperiod_portfolio_50,9520000,optimal,0,85.92470144527033,14,-204.72172673621293
multiperiod_portfolio_75,14277500,optimal,0,420.32266108784825,17,-307.3915300629475
multiperiod_portfolio_125,23792500,optimal,0,230.13767883600667,14,-512.6255864801135
