name,size,status,setup_time,solve_time,num_iters,objective
multiperiod_portfolio_2,385600,optimal,0,0.889868853,13,-8.187208105434024
multiperiod_portfolio_5,956500,optimal,0,3.6208162679999996,13,-20.269184749504667
multiperiod_portfolio_10,1908000,optimal,0,15.43225299,14,-40.85830919234169
multiperiod_portfolio_15,2859500,optimal,0,33.4781711,14,-61.680972251395374
multiperiod_portfolio_25,4762500,optimal,0,85.231409234,14,-102.72926807496354
multiperiod_portfolio_50,9520000,optimal,0,343.087100107,15,-204.72108631749137
multiperiod_portfolio_75,14277500,optimal,0,865.532135076,15,-307.3911630475741
multiperiod_portfolio_125,23792500,optimal,0,2929.0053416379997,16,-512.6232805595095
