name,size,status,setup_time,analysis_time,solve_time,num_iters,objective
multiperiod_portfolio_2,385600,optimal,0.174761608,0.157002945,0.087257637,13,-8.187208105434037
multiperiod_portfolio_5,956500,optimal,0.434899904,0.407671256,0.141674278,13,-20.269184749504657
multiperiod_portfolio_10,1908000,optimal,1.002794715,0.946258295,0.268612276,14,-40.8583091923419
multiperiod_portfolio_15,2859500,optimal,1.579849353,1.493554226,0.423946901,14,-61.680972251396454
multiperiod_portfolio_25,4762500,optimal,2.847306485,2.69381428,0.827704584,14,-102.72926807496385
multiperiod_portfolio_50,9520000,optimal,6.15022974,5.800959987,2.412883694,15,-204.72108631749197
multiperiod_portfolio_75,14277500,optimal,9.987931242,9.429587297,4.640642553,15,-307.39116304757516
multiperiod_portfolio_125,23792500,optimal,22.171750685,21.227417472,21.58665465,16,-512.6232805595101
